HEADLINE,SUMMARY,ARTICLE LINK
New York Needed Ventilators. So They Developed One in a Month.,"The pandemic inspired an innovative project to design and make a low-cost ventilator in weeks, not years.",https://www.nytimes.com/2020/04/20/technology/new-york-ventilators-coronavirus.html
Zoom’s Security Woes Were No Secret to Business Partners Like Dropbox,"Dropbox privately paid top hackers to find bugs in software by the videoconferencing company Zoom, then pressed it to fix them.",https://www.nytimes.com/2020/04/20/technology/zoom-security-dropbox-hackers.html
Facebook to Introduce an App for Gaming,Video games are surging in popularity in the pandemic. So Facebook is rolling out an app designed for creating and watching live gameplay.,https://www.nytimes.com/2020/04/19/technology/facebook-app-gaming.html
Take YouTube’s Dangers Seriously,The website’s features can lead people unwittingly to scary places.,https://www.nytimes.com/2020/04/20/technology/youtube-conspiracy-theories.html
"Apple, in a Virtual Unveiling, Introduces a $399 iPhone","The new iPhone SE has the design of an older generation of iPhones, with the same computing power as newer ones.",https://www.nytimes.com/2020/04/15/technology/personaltech/apple-new-iphone-se.html
The Virus Revealed Our Essential Tech (and Weeded Out the Excess),"A computer with a good internet connection, communication apps and entertainment are the only tech we really need, ever.",https://www.nytimes.com/2020/04/15/technology/personaltech/virus-essential-tech.html
The Art (and Awkwardness) of a Virtual Haircut,My husband’s hair was looking shaggy. So were my bangs. A hairstylist came to our rescue — or did she? — over video chat.,https://www.nytimes.com/2020/04/13/technology/coronavirus-virtual-haircut.html
Track Down the Mystery Person Who Just Texted You,"“New phone, who dis?”",https://www.nytimes.com/2020/04/12/smarter-living/mystery-text-messages-iphone-imessage.html
How to Make the Perfect Playlist,Need something fresh to listen to? Maybe something inspiring? These tips will help.,https://www.nytimes.com/2020/04/10/smarter-living/make-the-perfect-playlist-spotify-apple-music-pandora.html
"As Amazon Rises, So Does the Opposition","<p class=""css-1echdzn e1xfvim31"">Stacy Mitchell knew that taking on a trillion-dollar company would be a lopsided fight. But the pandemic has not only made Amazon more essential. It has also made it vulnerable.</p>",https://www.nytimes.com/2020/04/18/technology/athena-mitchell-amazon.html
Jobless Claims by Uber and Lyft Drivers Revive Fight Over Labor Status,"<p class=""css-1echdzn e1xfvim31"">California’s move to aid gig workers may break federal rules. But the state said it had few options after the ride-hailing companies resisted other benefits.</p>",https://www.nytimes.com/2020/04/17/business/economy/coronavirus-uber-lyft-unemployment.html
The Pandemic Work Diary of a Video-Streaming C.E.O.,"<p class=""css-1echdzn e1xfvim31"">From her parents’ home, Vimeo’s Anjali Sud oversees 600 employees and surging demand for feeds of documentaries, yoga classes and funerals.</p>",https://www.nytimes.com/2020/04/17/business/vimeo-anjali-sud.html
SpaceX Gets May Date to Launch 2 NASA Astronauts to Space Station,"<p class=""css-1echdzn e1xfvim31"">The crew will be the first to travel to orbit from American soil since the space shuttle stopped flying in 2011.</p>",https://www.nytimes.com/2020/04/17/science/spacex-nasa-crew-dragon.html
A Privacy Absolutist Isn’t So Sure Anymore,"<p class=""css-1echdzn e1xfvim31"">The urgency of the pandemic has made Charlie Warzel, an Opinion writer for The Times, question his beliefs on the dangers of location tracking.</p>",https://www.nytimes.com/2020/04/17/technology/coronavirus-location-tracking.html
Uber and Lyft Are Searching for Lifelines,"<p class=""css-1echdzn e1xfvim31"">The ride-hailing competitors started the year with optimism. Now, like most other companies, they’re trying to survive the cratering economy.</p>",https://www.nytimes.com/2020/04/17/technology/uber-lift-coronavirus.html
France Weighs Its Love of Liberty in Fight Against Coronavirus,"<p class=""css-1echdzn e1xfvim31"">The French are cautiously considering digital tracking, which has proved effective in Asia. But can a country that so prizes personal freedom and privacy ever accept it?</p>",https://www.nytimes.com/2020/04/17/world/europe/coronavirus-france-digital-tracking.html
When Even Amazon Is Sold Out of Exploding Kittens,"<p class=""css-1echdzn e1xfvim31"">Sometimes products are in stock. Sometimes they aren’t. And delivery times vary widely. A virus-fueled surge in orders has created chaos behind the scenes, and confusion for customers.</p>",https://www.nytimes.com/2020/04/17/technology/amazon-coronavirus.html
"Bill Gates, at Odds With Trump on Virus, Becomes a Right-Wing Target","<p class=""css-1echdzn e1xfvim31"">The Microsoft co-founder turned philanthropist has been attacked with falsehoods that he created the coronavirus and wants to profit from it.</p>",https://www.nytimes.com/2020/04/17/technology/bill-gates-virus-conspiracy-theories.html
"The Difference Between Copyrights, Trademarks and Patents","<p class=""css-1echdzn e1xfvim31"">Whether you’re an inventor, a writer or an artist, you need to know what these each mean — and which you need to protect your work.</p>",https://www.nytimes.com/article/copyrights-trademarks-patents.html
